faculty123456,pass@faculty1
teacher987654,secure#2023
professor1234,prof@pass1
drjohnsmith01,secureDr@2024
lecturer9876,lecturer!2023
professorabc1,teach@2023
faculty01xyz2,teach@pass
profdrmiller01,secure@prof
tutorjohnson9,faculty@123
faculty567890,prof@secure
teacherxy9876,secure*pass1
professorz123,faculty#1234
teacherabc234,prof@secure
lecturer987zy,lecturer2024!
drjacobadmin1,prof@2023pass
professor8765,secureProf@12
teachertom01,teacher@pass
drmaryjohnson,professor123
lecturer01abc,pass@lecturer
teacher@456abc,facultyPass1
tutorjane12xyz,secure2024!
profjohndoe99,professor@admin
facultyadmin01,secureteach#12
teacher1234xyz,pass*secure
faculty987abc,teach!prof12
drrobertbrown,professor!2024
teacher@john99,secure*faculty
faculty456789,prof@adminsecure
tutoralice123,securePass@1
professorjohn,prof@teach#34
SanchitJakhetia,123456789
